Tempo,DimInput,posCercata
2744200.0,100,74
662800.0,100,53
136133.33333333334,100,22
789900.0,100,89
565600.0,100,72
37533.333333333336,100,12
238400.0,100,88
68200.0,100,22
280750.0,100,73
142100.0,100,40
326450.0,100,87
297250.0,100,75
321150.0,100,89
121775.0,100,35
92120.0,100,32
280100.0,100,80
65971.42857142857,100,22
117175.0,100,73
42430.0,100,29
94140.0,100,88
114250.0,100,87
63728.57142857143,100,59
15235.714285714286,100,2
138925.0,100,77
114125.0,100,62
53112.5,100,25
89800.0,100,49
48211.11111111111,100,30
117850.0,100,99
74066.66666666667,100,52
50125.0,100,35
122600.0,100,94
91100.0,100,56
127425.0,100,89
18545.454545454544,100,3
77916.66666666667,100,53
867000.0,100,19
45611.11111111111,100,26
116700.0,100,87
57285.71428571428,100,36
18377.272727272728,111,46
2933.5766423357663,111,1
21521.052631578947,111,75
24470.58823529412,111,93
16536.0,111,64
14948.148148148148,111,53
30214.285714285714,111,89
24323.529411764706,111,51
13393.333333333334,111,29
35625.0,111,76
10284.615384615385,111,22
17350.0,111,38
9472.093023255815,111,19
36183.333333333336,111,74
14179.310344827587,111,29
8232.65306122449,111,16
6915.254237288135,111,19
33500.0,111,67
33238.46153846154,111,71
48777.77777777778,111,103
38018.181818181816,111,80
53737.5,111,109
14635.714285714286,111,32
40540.0,111,83
21684.21052631579,111,48
11125.0,111,23
11908.823529411764,111,26
42090.0,111,88
18427.272727272728,111,31
37563.63636363636,111,74
52150.0,111,111
43070.0,111,86
20730.0,111,44
38954.545454545456,111,79
4354.347826086957,111,4
21184.21052631579,111,46
53262.5,111,106
47222.22222222222,111,94
14918.518518518518,111,34
15022.222222222223,111,60
40360.0,124,77
40800.0,124,77
7573.584905660377,124,15
8052.0,124,17
13238.709677419354,124,29
31984.615384615383,124,105
25743.75,124,93
4913.414634146341,124,10
43550.0,124,84
11480.0,124,24
38463.63636363636,124,76
62614.28571428572,124,119
30535.714285714286,124,60
7776.923076923077,124,15
8960.0,124,18
35308.333333333336,124,64
43370.0,124,79
33115.38461538462,124,65
21557.894736842107,124,83
6339.0625,124,25
14396.42857142857,124,57
18518.18181818182,124,72
3082.442748091603,124,9
32053.846153846152,124,119
18750.0,124,73
5911.764705882353,124,23
21631.57894736842,124,80
19547.619047619046,124,75
8330.612244897959,124,35
4551.136363636364,124,17
31076.923076923078,124,115
28685.714285714286,124,105
27973.333333333332,124,106
26562.5,124,99
24423.529411764706,124,90
10657.894736842105,124,44
2240.223463687151,124,2
16208.0,124,65
3424.7863247863247,124,11
17900.0,124,69
105375.0,138,130
34558.333333333336,138,45
4584.090909090909,138,4
41090.0,138,110
5941.176470588235,138,15
10105.0,138,27
4517.9775280898875,138,9
30235.714285714286,138,80
19157.14285714286,138,54
43400.0,138,123
3229.8387096774195,138,6
27680.0,138,75
40610.0,138,112
33550.0,138,91
27540.0,138,74
44100.0,138,125
32823.07692307692,138,89
41880.0,138,114
32053.846153846152,138,83
37145.454545454544,138,96
29850.0,138,79
15561.538461538461,138,38
20055.0,138,58
29821.428571428572,138,79
14922.222222222223,138,41
48177.77777777778,138,137
31061.53846153846,138,91
34850.0,138,91
45866.666666666664,138,129
24147.058823529413,138,62
38781.818181818184,138,97
20975.0,138,57
8439.583333333334,138,25
24300.0,138,66
42660.0,138,114
56550.0,138,79
40300.0,138,95
4584.090909090909,138,11
10692.105263157895,138,28
46422.22222222222,138,122
50800.0,154,105
56812.5,154,146
49466.666666666664,154,131
56412.5,154,141
13700.0,154,37
57900.0,154,152
53000.0,154,136
58437.5,154,150
37790.90909090909,154,133
35791.666666666664,154,126
3022.5563909774437,154,6
27966.666666666668,154,104
3301.6393442622953,154,10
2714.189189189189,154,2
2505.625,154,1
13646.666666666666,154,58
17921.739130434784,154,76
30735.714285714286,154,114
15415.384615384615,154,65
18477.272727272728,154,78
41250.0,154,143
23138.88888888889,154,92
29035.714285714286,154,109
6996.551724137931,154,33
3618.9189189189187,154,14
17569.565217391304,154,71
6637.704918032787,154,32
9525.581395348838,154,44
41350.0,154,145
13051.612903225807,154,59
23847.058823529413,154,92
42540.0,154,149
42820.0,154,147
6050.746268656716,154,28
2955.8823529411766,154,7
11562.857142857143,154,49
2973.3333333333335,154,6
30371.428571428572,154,93
80320.0,154,145
6913.793103448276,154,10
54550.0,172,102
64242.857142857145,172,119
48777.77777777778,172,138
45888.88888888889,172,149
11277.777777777777,172,33
73183.33333333333,172,127
26906.666666666668,172,80
9332.558139534884,172,41
33000.0,172,117
25243.75,172,96
15122.222222222223,172,62
6681.666666666667,172,32
32846.153846153844,172,116
20510.0,172,81
46100.0,172,150
12843.75,172,57
32253.846153846152,172,115
31384.615384615383,172,111
33725.0,172,120
5294.736842105263,172,24
22650.0,172,87
46588.88888888889,172,152
44230.0,172,146
11929.411764705883,172,54
19790.47619047619,172,81
7183.928571428572,172,32
35391.666666666664,172,123
30907.69230769231,172,112
6573.770491803279,172,30
5073.4177215189875,172,1
5530.13698630137,172,6
9843.90243902439,172,21
15888.461538461539,172,34
55900.0,172,100
5725.714285714285,172,7
17062.5,172,38
74516.66666666667,172,130
28500.0,172,62
106750.0,172,170
38281.818181818184,172,78
104625.0,192,158
76283.33333333333,192,122
20495.0,192,43
94540.0,192,150
13190.322580645161,192,29
114700.0,192,177
64885.71428571428,192,108
17200.0,192,38
107375.0,192,165
103050.0,192,156
59671.42857142857,192,106
53012.5,192,117
17721.739130434784,192,69
58771.42857142857,192,171
10125.0,192,44
60485.71428571428,192,180
22272.222222222223,192,83
41280.0,192,134
14885.185185185184,192,61
3042.4242424242425,192,3
62157.142857142855,192,170
10578.947368421053,192,45
37600.0,192,126
